"Вино Молд Селкуца Мерло 0,75 л н/сух. червон.",98.70,https://static.tavriav.ua/resize_80x80/e/7/3/4/e734a8dde42c57a282dc97f47a195380d0294690_2986_photo_main.png,Вино
"Вино Молд Каса Вече Піно Франк 0,75 л сух. червон.",89.00,https://static.tavriav.ua/resize_80x80/d/a/e/1/dae1147bebf5e2b905b9327d27da5d013eff6465_51549_photo_main.png,Вино
"Вино Молд Каса Вече Мускат 0,75 л сух. біле",89.00,https://static.tavriav.ua/resize_80x80/7/8/7/4/7874e42514e5d5fe342455a24a4d992516ab473b_53043_photo_main.png,Вино
"Вино Via Giulia Антика 0,75 л біле сух.",124.80,https://static.tavriav.ua/resize_80x80/b/5/2/6/b526cf5b754beea23b480de734d40fbbb20bd082_1340718_photo_main.png,Вино
"Вино Ореанда Каберне 0,75 л сух. червон.",68.90,https://static.tavriav.ua/resize_80x80/7/8/3/a/783a680430d9ce7e6b56d5dec51934e5825a3883_1266780_photo_main.png,Вино
"Вино Санта Маргарита Кьянті Класіко DOCG 0,75 л сух. червон.",692.50,https://static.tavriav.ua/resize_80x80/a/b/8/2/ab82bc1690eded7ec3e161ee2eecee39c7b59445_978466_photo_main.png,Вино
"Вино Порто Круз Тоні 0,75 л червон.",471.60,https://static.tavriav.ua/resize_80x80/1/d/6/f/1d6f115f59e9d97a17d3042c56748b3ddf68fee5_147086_photo_main.jpg,Вино
"Вино Via Giulia Антика 0,75 л червон. сух.",124.80,https://static.tavriav.ua/resize_80x80/9/1/b/a/91ba1711621fbe173a7be2b0bdf89855784f050b_1340719_photo_main.png,Вино
"Вино Гато Негро Совіньйон Бланк 0,75 л",179.90,https://static.tavriav.ua/resize_80x80/e/2/e/9/e2e90d8f8445e9cf361e08e94988be85e8eb5870_625420_photo_main.png,Вино
"Вино Коблево Бастардо 0,75 л н/сол. червон.",70.10,https://static.tavriav.ua/resize_80x80/f/a/e/d/faed98cf3d725afec5af96625b15533bcb696c78_4820004927471_main.png,Вино
"Вино Бартон і Гостьє Бордо 0,75 л",471.60,https://static.tavriav.ua/resize_80x80/8/3/8/9/8389212e6e75e161e0600084773578aacf23d58e_694115_photo_main.png,Вино
"Вино Бартон і Гостьє Кот дю Рон 0,75 л",406.00,https://static.tavriav.ua/resize_80x80/2/c/5/3/2c53589ad8438253e31ef3eb6718d689cf60d9c8_694118_photo_main.png,Вино
"Вино Бартон і Гостьє Розе д 'Анжу 0,75 л",377.30,https://static.tavriav.ua/resize_80x80/7/d/c/a/7dca6fd17b0f7346ef019eade5abc4c68a129e61_694121_photo_main.png,Вино
"Вино Кастільйо де Моліна Шардоне Різерва 0,75 л",370.10,https://static.tavriav.ua/resize_80x80/5/3/3/3/53332af9de72272299d922854bd47a17f2a142ac_748058_photo_main.png,Вино
"Вино Молд Селкуца Шардоне 0,75 л н/сух. біле",98.70,https://static.tavriav.ua/resize_80x80/c/7/4/9/c74952a64b7a9dddcefe81170d9d83098b40219e_2988_photo_main.png,Вино
"Вино Молд Альянца-він Мускатто Мускат 0,75 л н/сол. біле",97.50,https://static.tavriav.ua/resize_80x80/1/6/6/6/1666e1af476b1dcce6f6efa4a85437e1c76cf601_950349_photo_main.png,Вино
"Вино Шабо КШ Сапераві 0,75 л сух. червон.",98.70,https://static.tavriav.ua/resize_80x80/4/4/4/7/44478b4914b0c9f4a14d39bec13272fb0653d7cc_754535_photo_main.png,Вино
